Source, Product, Region,Incoterm, Period ,Low Price (US$/T),High Price (US$/T),Avg Price (US$/T) 
ICIS,MEG,CHINA,CFR,6-Jan-12,1114,1118,1116
"ICIS""",MEG,CHINA,CFR,13-Jan-12,1110,1116,1113
"ICIS""",MEG,CHINA,CFR,20-Jan-12,1109,1112,1110
"ICIS""",MEG,CHINA,CFR,3-Feb-12,1120,1125,1122
"ICIS""",MEG,CHINA,CFR,10-Feb-12,1102,1108,1105
"ICIS""",MEG,CHINA,CFR,17-Feb-12,1074,1081,1078
"ICIS""",MEG,CHINA,CFR,24-Feb-12,1072,1077,1074
"ICIS""",MEG,CHINA,CFR,2-Mar-12,1085,1088,1086
"ICIS""",MEG,CHINA,CFR,9-Mar-12,1075,1077,1076
"ICIS""",MEG,CHINA,CFR,16-Mar-12,1016,1028,1022
"ICIS""",MEG,CHINA,CFR,23-Mar-12,988,993,990
"ICIS""",MEG,CHINA,CFR,30-Mar-12,989,994,992
"ICIS""",MEG,CHINA,CFR,6-Apr-12,950,954,952
"ICIS""",MEG,CHINA,CFR,13-Apr-12,953,960,956
"ICIS""",MEG,CHINA,CFR,20-Apr-12,976,983,980
"ICIS""",MEG,CHINA,CFR,27-Apr-12,975,980,978
"ICIS""",MEG,CHINA,CFR,4-May-12,1007,1019,1013
"ICIS""",MEG,CHINA,CFR,11-May-12,995,1001,998
"ICIS""",MEG,CHINA,CFR,18-May-12,967,982,974
"ICIS""",MEG,CHINA,CFR,25-May-12,964,972,968
"ICIS""",MEG,CHINA,CFR,1-Jun-12,951,958,954
"ICIS""",MEG,CHINA,CFR,8-Jun-12,858,870,864
"ICIS""",MEG,CHINA,CFR,15-Jun-12,837,845,841
"ICIS""",MEG,CHINA,CFR,22-Jun-12,850,859,854
"ICIS""",MEG,CHINA,CFR,29-Jun-12,834,841,838
"ICIS""",MEG,CHINA,CFR,6-Jul-12,875,888,882
"ICIS""",MEG,CHINA,CFR,13-Jul-12,883,888,886
